timestamp,temperature_c,humidity,wind_speed,weather_description,pressure,cloud_cover,hour,day,month
2025-04-07 11:17:00,34.54,36,2.25,broken clouds,1008,50,11,7,4
2025-04-07 11:20:00,34.54,36,2.25,broken clouds,1010,50,11,7,4
2025-04-07 11:23:00,34.54,36,2.25,broken clouds,1009,50,11,7,4
2025-04-07 12:11:00,36.51,29,2.71,broken clouds,1011,50,12,7,4
2025-04-07 12:13:00,36.51,29,2.71,broken clouds,1007,50,12,7,4
2025-04-07 22:35:00,29.63,31,1.52,overcast clouds,1010,50,22,7,4
2025-07-04 22:51:00,29.63,31,1.52,overcast clouds,1010,50,22,4,7
2025-04-09 07:01:00,24.17,79,1.87,overcast clouds,1007,50,7,9,4
2025-09-04 07:25:00,24.17,79,1.87,overcast clouds,1004,50,7,4,9
2025-09-04 09:00:00,29.44,55,2.56,overcast clouds,1004,50,9,4,9
2025-09-04 17:00:00,36.18,31,4.21,overcast clouds,1012,50,17,4,9
2025-10-04 00:05:00,28.55,52,0.22,broken clouds,1012,75,0,4,10
2025-10-04 01:00:00,26.9,64,1.31,broken clouds,1011,50,1,4,10
2025-10-04 22:46:00,26.15,61,1.8,overcast clouds,1008,50,22,4,10
2025-11-04 15:11:00,38.31,20,2.68,broken clouds,1008,50,15,4,11
2025-11-04 17:00:00,35.21,22,1.85,overcast clouds,1009,50,17,4,11
2025-04-11 20:59:00,29.93,25,1.97,broken clouds,1011,50,20,11,4
2025-11-04 21:02:00,29.93,25,1.97,broken clouds,1010,50,21,4,11
2025-11-04 21:07:00,29.93,25,1.97,broken clouds,1013,50,21,4,11
2025-04-11 21:13:00,29.93,25,1.97,broken clouds,1011,50,21,11,4
2025-04-11 21:19:00,29.93,25,1.97,broken clouds,1013,50,21,11,4
2025-04-11 21:22:00,29.93,25,1.97,broken clouds,1005,50,21,11,4
2025-04-11 21:23:00,29.93,25,1.97,broken clouds,1012,50,21,11,4
2025-04-11 21:28:00,29.93,25,1.97,broken clouds,1007,50,21,11,4
2025-04-11 22:58:00,28.85,21,2.08,broken clouds,1009,50,22,11,4
2025-11-04 23:00:00,28.85,21,2.08,broken clouds,1010,50,23,4,11
2025-04-11 23:05:00,28.85,21,2.08,broken clouds,1010,75,23,11,4
2025-04-13 01:00:00,25.23,13,2.39,broken clouds,1010,50,1,13,4
2025-04-13 02:54:00,24.73,12,2.06,scattered clouds,1009,50,2,13,4
2025-04-13 07:45:00,29.75,12,1.3,broken clouds,1012,50,7,13,4
2025-04-13 09:00:00,32.21,13,1.93,broken clouds,1013,50,9,13,4
2025-04-14 21:00:00,29.02,31,1.98,broken clouds,1010,50,21,14,4
2025-04-14 23:00:00,28.33,30,1.56,broken clouds,1011,50,23,14,4
2025-04-16 01:00:00,27.49,49,2.1,overcast clouds,1011,50,1,16,4
2025-04-16 09:00:00,29.53,54,2.15,overcast clouds,1013,50,9,16,4
2025-04-16 17:00:00,37.1,24,3.15,broken clouds,1005,50,17,16,4
2025-04-16 19:00:00,33.12,31,2.12,broken clouds,1007,50,19,16,4
2025-04-16 21:00:00,30.57,40,1.54,overcast clouds,1009,50,21,16,4
2025-04-16 23:00:00,28.62,47,1.08,light rain,1011,50,23,16,4
2025-04-17 01:00:00,25.83,65,1.78,light rain,1012,50,1,17,4
2025-04-17 10:59:00,32.7,44,2.95,broken clouds,1013,50,10,17,4
2025-04-17 11:00:00,32.7,44,2.95,broken clouds,1013,50,11,17,4
2025-04-17 13:00:00,36.42,33,3.18,broken clouds,1009,50,13,17,4
2025-04-17 19:00:00,29.41,49,1.73,overcast clouds,1008,50,19,17,4
2025-04-18 09:00:00,31.5,41,1.34,overcast clouds,1012,50,9,18,4
2025-04-18 11:00:00,36.2,27,1.51,overcast clouds,1010,50,11,18,4
2025-04-18 13:00:00,39.03,19,2.51,overcast clouds,1007,50,13,18,4
2025-04-18 15:00:00,39.54,16,3.01,overcast clouds,1005,50,15,18,4
2025-04-18 17:00:00,38.94,15,2.37,overcast clouds,1004,50,17,18,4
2025-04-18 19:00:00,32.16,26,1.62,overcast clouds,1007,50,19,18,4
2025-04-18 23:00:00,29.49,29,1.8,overcast clouds,1010,50,23,18,4
2025-04-19 01:00:00,28.38,43,0.82,overcast clouds,1009,50,1,19,4
2025-04-20 01:25:00,26.47,53,0.44,few clouds,1008,50,1,20,4
2025-04-20 04:58:00,23.74,68,1.06,scattered clouds,1008,50,4,20,4
2025-04-20 07:30:00,27.54,62,1.19,broken clouds,1011,50,7,20,4
2025-04-20 09:00:00,29.76,55,2.05,scattered clouds,1011,50,9,20,4
2025-04-21 09:00:00,30.99,44,2.15,few clouds,1010,50,9,21,4
2025-04-21 10:14:00,33.62,35,2.4,few clouds,1009,50,10,21,4
2025-04-21 11:00:00,36.21,26,2.3,few clouds,1008,50,11,21,4
2025-04-21 13:00:00,39.43,17,2.72,clear sky,1005,50,13,21,4
2025-04-21 15:00:00,40.03,16,3.73,clear sky,1002,50,15,21,4
2025-04-21 17:00:00,39.05,16,3.25,few clouds,1002,50,17,21,4
2025-04-21 22:22:00,28.64,39,1.6,clear sky,1008,50,22,21,4
2025-04-22 01:00:00,27.62,42,1.44,clear sky,1007,50,1,22,4
2025-04-22 11:44:00,32.48,45,2.8,overcast clouds,1009,92,11,22,4
2025-04-22 12:22:00,32.48,45,2.8,overcast clouds,1009,92,12,22,4
2025-04-22 12:26:00,32.48,45,2.8,overcast clouds,1009,92,12,22,4
2025-04-22 12:27:00,32.48,45,2.8,overcast clouds,1009,92,12,22,4
2025-04-22 12:29:00,32.48,45,2.8,overcast clouds,1009,92,12,22,4
2025-04-22 12:31:00,32.48,45,2.8,overcast clouds,1009,92,12,22,4
2025-04-22 12:38:08,34.19,40,3.21,overcast clouds,1008,92,12,22,4
2025-04-22 12:39:40,34.19,40,3.21,overcast clouds,1008,92,12,22,4
2025-04-22 12:40:47,34.19,40,3.21,overcast clouds,1008,92,12,22,4
2025-04-22 13:06:43,32.77,45,2.97,overcast clouds,1008,94,13,22,4
2025-04-23 09:00:12,28.71,58,1.7,overcast clouds,1012,50,9,23,4
2025-04-24 11:00:13,34.27,40,1.97,overcast clouds,1010,50,11,24,4
2025-04-24 13:00:16,37.85,27,2.41,overcast clouds,1006,50,13,24,4
2025-04-24 15:00:09,38.55,24,3.23,overcast clouds,1004,50,15,24,4
2025-04-26 03:00:19,26.06,46,0.44,overcast clouds,1008,50,3,26,4
2025-04-26 07:00:13,25.07,75,0.63,overcast clouds,1010,50,7,26,4
2025-04-27 11:00:08,35.83,28,1.88,overcast clouds,1009,50,11,27,4
2025-04-28 17:00:08,37.2,25,1.39,overcast clouds,1003,50,17,28,4
2025-04-28 19:00:11,30.39,45,0.86,light rain,1007,50,19,28,4
2025-04-28 21:00:06,28.01,58,0.86,light rain,1009,50,21,28,4
2025-04-28 23:00:15,26.67,64,0.38,light rain,1010,50,23,28,4
2025-04-29 09:00:11,25.87,75,1.29,overcast clouds,1012,50,9,29,4
2025-04-29 13:00:06,31.43,43,1.82,overcast clouds,1009,50,13,29,4
2025-04-29 15:00:14,32.01,42,1.69,light rain,1006,50,15,29,4
2025-04-30 01:00:09,24.36,70,0.82,overcast clouds,1008,50,1,30,4
2025-04-30 01:08:17,24.36,70,0.82,overcast clouds,1008,50,1,30,4
2025-04-30 03:00:11,23.86,71,0.34,overcast clouds,1007,50,3,30,4
2025-04-30 07:00:06,24.45,69,0.52,overcast clouds,1010,50,7,30,4
2025-04-30 09:00:05,28.53,57,1.8,overcast clouds,1011,50,9,30,4
2025-04-30 22:36:22,25.28,78,1.82,light rain,1010,50,22,30,4
2025-04-30 23:00:06,25.28,78,1.82,light rain,1010,50,23,30,4
2025-05-01 09:00:09,27.14,67,2.03,overcast clouds,1012,50,9,1,5
2025-05-01 09:53:14,29.02,61,2.47,overcast clouds,1012,50,9,1,5
2025-05-01 11:00:06,31.2,53,2.42,overcast clouds,1011,50,11,1,5
2025-05-01 13:00:04,35.0,38,2.82,overcast clouds,1008,50,13,1,5
2025-05-01 15:00:07,32.63,48,2.06,light rain,1006,50,15,1,5
2025-05-01 17:00:08,24.11,86,4.05,heavy intensity rain,1008,50,17,1,5
2025-05-03 03:00:07,23.25,83,0.84,overcast clouds,1011,50,3,3,5
2025-05-03 06:56:59,23.87,79,1.23,overcast clouds,1013,50,6,3,5
2025-05-03 07:00:04,23.87,79,1.23,overcast clouds,1013,50,7,3,5
2025-05-03 09:00:05,28.76,57,1.89,overcast clouds,1013,50,9,3,5
2025-05-04 09:00:25,28.71,52,1.57,overcast clouds,1012,50,9,4,5
2025-05-04 11:00:08,32.73,35,1.3,overcast clouds,1012,50,11,4,5
2025-05-04 13:00:08,36.49,25,1.77,overcast clouds,1009,50,13,4,5
2025-05-05 17:00:11,36.83,24,3.47,broken clouds,1006,50,17,5,5
2025-05-05 19:00:06,30.81,38,1.18,broken clouds,1009,50,19,5,5
2025-05-05 21:00:09,29.18,42,0.89,clear sky,1010,50,21,5,5
2025-05-05 23:00:08,28.22,45,1.01,scattered clouds,1011,50,23,5,5
2025-05-06 09:00:10,30.28,51,1.67,few clouds,1013,50,9,6,5
2025-05-06 19:00:06,30.6,33,0.67,broken clouds,1008,50,19,6,5
2025-05-07 03:00:08,26.11,49,0.79,overcast clouds,1010,50,3,7,5
2025-05-07 05:00:07,25.24,56,1.16,overcast clouds,1012,50,5,7,5
2025-05-07 07:00:07,26.3,56,0.74,overcast clouds,1012,50,7,7,5
2025-05-07 09:00:11,31.43,42,1.54,overcast clouds,1013,50,9,7,5
2025-05-07 17:00:07,33.16,38,2.38,broken clouds,1006,50,17,7,5
2025-05-07 23:00:08,24.8,74,1.91,broken clouds,1013,50,23,7,5
2025-05-08 11:00:12,34.89,33,2.37,scattered clouds,1011,50,11,8,5
2025-05-08 13:00:11,36.21,30,3.45,scattered clouds,1008,50,13,8,5
2025-05-08 15:00:06,35.38,32,2.97,overcast clouds,1006,50,15,8,5
2025-05-08 17:00:07,35.47,30,2.6,broken clouds,1006,50,17,8,5
2025-05-08 23:42:57,25.19,64,0.67,few clouds,1011,17,23,8,5
2025-05-08 23:51:04,25.19,64,0.67,few clouds,1011,17,23,8,5
2025-05-09 00:11:12,25.19,64,0.67,few clouds,1011,17,0,9,5
2025-05-09 00:12:49,25.19,64,0.67,few clouds,1011,17,0,9,5
2025-05-09 00:16:30,25.19,64,0.67,few clouds,1011,17,0,9,5
2025-05-09 00:19:28,25.19,64,0.67,few clouds,1011,17,0,9,5
2025-05-09 00:23:03,25.19,64,0.67,few clouds,1011,17,0,9,5
2025-05-09 00:28:42,25.19,64,0.67,few clouds,1011,17,0,9,5
2025-05-09 00:38:54,24.84,66,0.78,few clouds,1010,14,0,9,5
2025-05-09 00:52:02,25.53,61,0.83,clear sky,1010,7,0,9,5
2025-05-09 00:58:17,25.53,61,0.83,clear sky,1010,7,0,9,5
